sku,fecha,venta
SKU-001,2026-05-25,14
SKU-001,2026-06-01,16
SKU-001,2026-06-08,13
SKU-001,2026-06-15,15
SKU-001,2026-06-22,16
SKU-001,2026-06-29,18
SKU-001,2026-07-06,14
SKU-001,2026-07-13,17
SKU-001,2026-07-20,15
SKU-001,2026-07-27,12
SKU-001,2026-08-03,16
SKU-001,2026-08-10,13
SKU-001,2026-08-17,14
SKU-001,2026-08-24,11
SKU-001,2026-08-31,15
SKU-001,2026-09-07,12
SKU-002,2026-05-25,4
SKU-002,2026-06-08,9
SKU-002,2026-06-22,2
SKU-002,2026-07-06,0
SKU-002,2026-07-20,7
SKU-002,2026-08-03,3
SKU-002,2026-08-17,0
SKU-002,2026-08-31,6
SKU-003,2026-05-25,42
SKU-003,2026-06-01,40
SKU-003,2026-06-08,38
SKU-003,2026-06-15,34
SKU-003,2026-06-22,35
SKU-003,2026-06-29,33
SKU-003,2026-07-06,29
SKU-003,2026-07-13,30
SKU-003,2026-07-20,26
SKU-003,2026-07-27,27
SKU-003,2026-08-03,25
SKU-003,2026-08-10,21
SKU-003,2026-08-17,19
SKU-003,2026-08-24,22
SKU-003,2026-08-31,18
SKU-003,2026-09-07,20
SKU-004,2026-06-01,8
SKU-004,2026-06-08,6
SKU-004,2026-06-15,9
SKU-004,2026-06-22,7
SKU-004,2026-06-29,8
SKU-005,2026-08-24,4
SKU-005,2026-08-31,6
SKU-005,2026-09-07,5
